0,1
1,2
1,38
2,38
2,3
38,3
38,37
3,4
3,36
3,37
4,36
4,17
4,5
37,34
37,36
34,36
34,35
34,32
33,32
32,31
32,28
31,28
31,30
28,30
30,27
30,29
27,28
27,29
27,23
25,24
23,24
22,24
21,24
26,24
23,20
23,22
20,22
20,19
22,19
22,21
21,15
21,19
21,10
26,14
15,24
15,14
15,12
15,11
11,10
11,12
11,9
12,14
12,13
13,14
9,10
9,8
8,19
8,18
8,7
7,18
7,16
7,6
6,16
6,5
5,17
5,16
16,17
16,18
17,36
17,35
17,18
36,35
18,19
19,10
8,10
21,11
10,15
32,35
